MITRE Descriptions,Tactic,Other Tactics
"Adversaries commonly attempt to mimic normal, expected traffic to avoid detection.",COMMAND_AND_CONTROL,
Adversaries may communicate using application layer protocols to avoid detection/network filtering by blending in with existing traffic.,COMMAND_AND_CONTROL,
"Commands to the remote system, and often the results of those commands, will be embedded within the protocol traffic between the client and server.",COMMAND_AND_CONTROL,
CARROTBALL has the ability to use FTP in C2 communications.,COMMAND_AND_CONTROL,
Kimsuky has used FTP to download additional malware to the target machine.,COMMAND_AND_CONTROL,
Network intrusion detection and prevention systems that use network signatures to identify traffic for specific adversary malware can be used to mitigate activity at the network level.,COMMAND_AND_CONTROL,
The DNS protocol serves an administrative function in computer networking and thus may be very common in environments.,COMMAND_AND_CONTROL,
"Adversaries may abuse DNS to communicate with systems under their control within a victim network while also mimicking normal, expected traffic.",COMMAND_AND_CONTROL,
BONDUPDATER can use DNS and TXT records within its DNS tunneling protocol for C2.,COMMAND_AND_CONTROL,
InvisiMole has used a custom implementation of DNS tunneling to embed C2 communications in DNS requests and replies.,COMMAND_AND_CONTROL,
SUNBURST used DNS for C2 traffic designed to mimic normal SolarWinds API communications.,COMMAND_AND_CONTROL,
Resolving DNS requests with on-premise/proxy servers may also disrupt adversary attempts to conceal data within DNS packets.,COMMAND_AND_CONTROL,
Commands and files would be relayed from the disconnected system to the Internet-connected system to which the adversary has direct access.,COMMAND_AND_CONTROL,
APT28 uses a tool that captures information from air-gapped computers via an infected USB and transfers it to network-connected computer when the USB is inserted.,COMMAND_AND_CONTROL,
"Part of APT28's operation involved using CHOPSTICK modules to copy itself to air-gapped machines, using files written to USB sticks to transfer data and command traffic.",COMMAND_AND_CONTROL,
Adversaries may encode data with a standard data encoding system.,COMMAND_AND_CONTROL,
Several BRONZE BUTLER tools encode data with base64 when posting it to a C2 server.,COMMAND_AND_CONTROL,
C2 information can be encoded using a standard data encoding system that adheres to existing protocol specifications.,COMMAND_AND_CONTROL,
DarkWatchman encodes data using hexadecimal representation before sending it to the C2 server,COMMAND_AND_CONTROL,
PowerShower has the ability to encode C2 communications with base64 encoding.,COMMAND_AND_CONTROL,
Adversaries may add junk data to protocols used for C2 to make detection more difficult.,COMMAND_AND_CONTROL,
"By adding random or meaningless data to the protocols, adversaries can prevent trivial methods for decoding, deciphering, or otherwise analyzing the traffic.",COMMAND_AND_CONTROL,
Appending/prepending data with junk characters or writing junk characters between significant characters.,COMMAND_AND_CONTROL,
"APT28 added ""junk data"" to each encoded string, preventing trivial decoding without knowledge of the junk removal algorithm.",COMMAND_AND_CONTROL,
"Downdelph inserts pseudo-random characters between each original character during encoding of C2 network requests, making it difficult to write signatures on them.",COMMAND_AND_CONTROL,
WellMess can use junk data in the Base64 string for additional obfuscation.,COMMAND_AND_CONTROL,
Adversaries may use steganographic techniques to hide C2 traffic to make detection efforts more difficult.,COMMAND_AND_CONTROL,
Hidden information can be used for Command and Control of compromised systems.,COMMAND_AND_CONTROL,
"The passing of files embedded using steganography, such as image or document files.",COMMAND_AND_CONTROL,
Daserf can use steganography to hide malicious code downloaded to the victim,COMMAND_AND_CONTROL,
Adversaries may impersonate legitimate protocols or web service traffic to disguise command and control activity and thwart analysis efforts.,COMMAND_AND_CONTROL,
"Adversaries may impersonate a fake SSL/TLS handshake to make it look like subsequent traffic is SSL/TLS encrypted, potentially interfering with some security tooling, or to make the traffic look like it is related with a trusted entity.",COMMAND_AND_CONTROL,
Adversaries may dynamically establish connections to command and control infrastructure to evade common detections and remediations.,COMMAND_AND_CONTROL,
Adversaries may use dynamic resolution for the purpose of Fallback Channels.,COMMAND_AND_CONTROL,
Adversaries may employ a known encryption algorithm to conceal C2 traffic rather than relying on any inherent protections provided by a communication protocol.,COMMAND_AND_CONTROL,
Adversaries may use fallback or alternate communication channels if the primary channel is compromised or inaccessible in order to avoid data transfer thresholds.,COMMAND_AND_CONTROL,
Adversaries may create multiple stages for command and control that are employed under different conditions or for certain functions.,COMMAND_AND_CONTROL,
"BACKSPACE attempts to avoid detection by checking a first stage C2 server to determine if it should connect to the second stage server, which performs ""louder"" interactions with the malware.",COMMAND_AND_CONTROL,
"After initial compromise, Chaos will download a second stage to establish a more permanent presence on the affected system.",COMMAND_AND_CONTROL,
Adversaries may communicate using a protocol and port paring that are typically not associated.,COMMAND_AND_CONTROL,
"GoldenSpy has used HTTP over ports 9005 and 9006 for network traffic, 9002 for C2 requests, 33666 as a WebSocket, and 8090 to download files.",COMMAND_AND_CONTROL,
"Protocol Tunneling may also be abused by adversaries during Dynamic Resolution. Known as DNS over HTTPS (DoH), queries to resolve C2 infrastructure may be encapsulated within encrypted HTTPS packets.",COMMAND_AND_CONTROL,
Fox Kitten has used protocol tunneling for communication and RDP activity on compromised hosts through the use of open source tools such as Ngrok and custom tool SSHMinion.,COMMAND_AND_CONTROL,
"An adversary may use legitimate desktop support and remote access software, such as Team Viewer, AnyDesk, Go2Assist, LogMein, AmmyyAdmin, etc, to establish an interactive C2 channel to target systems within networks.",COMMAND_AND_CONTROL,
Use of Web services may also protect back-end C2 infrastructure from discovery through malware binary analysis while also enabling operational resiliency.,COMMAND_AND_CONTROL,
"Techniques that adversaries may use to steal data from your network. Once theyâ€™ve collected data, adversaries often package it to avoid detection while removing it.",EXFILTRATION,
"Adversaries may exfiltrate data, such as sensitive documents, through the use of automated processing after being gathered during Collection.",EXFILTRATION,
Adversaries may leverage traffic mirroring in order to automate data EXFILTRATION over compromised network infrastructure.,EXFILTRATION,
An adversary may use this approach to avoid triggering network data transfer threshold alerts.,EXFILTRATION,
Adversaries may steal data by exfiltrating it over a different protocol than that of the existing C2 channel. The data may also be sent to an alternate network location from the main command and control server.,EXFILTRATION,
Adversaries may steal data by exfiltrating it over an existing C2 channel. Stolen data is encoded into the normal communications channel using the same protocol as Command and Control communications.,EXFILTRATION,
"Such media could be an external hard drive, USB drive, cellular phone, MP3 player, or other removable storage and processing device.",EXFILTRATION,
"Adversaries may use an existing, legitimate external Web service to exfiltrate data rather than their primary COMMAND_AND_CONTROL channel.",EXFILTRATION,
Adversaries may exfiltrate data to a code repository rather than over their primary C2 channel.,EXFILTRATION,
"Cloud storage services allow for the storage, edit, and retrieval of data from a remote cloud storage server over the Internet.",EXFILTRATION,
Ngrok has been used by threat actors to configure servers for data filtration.,EXFILTRATION,
"Web service providers also commonly use SSL/TLS encryption, giving adversaries an added level of protection.",EXFILTRATION,
Implement network-based filtering restrictions to prohibit data transfers to untrusted VPCs.,EXFILTRATION,
An adversary can rotate access keys within a certain number of days to reduce the effectiveness of stolen credentials.,EXFILTRATION,
Incidents have been observed where adversaries have created backups of cloud instances and transferred them to separate accounts.,EXFILTRATION,
Such transfers may utilize existing cloud provider APIs and the internal address space of the cloud provider to blend into normal traffic or avoid data transfers over external network interfaces.,EXFILTRATION,
Different protocol channels could also include Web services such as cloud storage. Adversaries may also opt to encrypt and/or obfuscate these alternate channels.,EXFILTRATION,
PoetRAT has used a .NET tool named dog.exe to exiltrate information over an e-mail account,EXFILTRATION,
Hydraq connects to a predefined domain on port 443 to exfil gathered information.,EXFILTRATION,
The adversary is trying to gather information they can use to plan future operations.,RECONNAISSANCE,
Adversaries may execute active scans to gather information that can be used during targeting.,RECONNAISSANCE,
The adversary probes victim infrastructure via network traffic,RECONNAISSANCE,
Adversaries may scan victim IP blocks to gather information that can be used during targeting.,RECONNAISSANCE,
"Public IP addresses may be allocated to organizations by block, or a range of sequential addresses.",RECONNAISSANCE,
"Adversaries may scan IP blocks in order to Gather Victim Network Information, such as which IP addresses are actively in use as well as more detailed information about hosts assigned these addresses.",RECONNAISSANCE,
TeamTNT has scanned specific lists of target IP addresses.,RECONNAISSANCE,
APT28 has performed large-scale scans in an attempt to find vulnerable servers.,RECONNAISSANCE,
Sandworm Team has scanned network infrastructure for vulnerabilities as part of its operational planning.,RECONNAISSANCE,
Adversaries may also use target-specific wordlists and tools such as s3recon and GCPBucketBrute to enumerate public and private buckets on cloud infrastructure,RECONNAISSANCE,
Adversaries may leverage Data from Cloud Storage Object to access valuable information that can be exfiltrated or used to escalate privileges and move laterally.,RECONNAISSANCE,
"Remove or disable access to any systems, resources, and infrastructure that are not explicitly required to be available externally.",RECONNAISSANCE,
"Monitor for suspicious network traffic that could be indicative of scanning, such as large quantities originating from a single source",RECONNAISSANCE,
Adversaries may also compromise sites then include malicious content designed to collect host information from visitors.,RECONNAISSANCE,
Information about hosts may also be exposed to adversaries via online or other accessible data sets,RECONNAISSANCE,
Internet scanners may be used to look for patterns associated with malicious content designed to collect host information from visitors.,RECONNAISSANCE,
"Adversaries may gather this information in various ways, such as direct elicitation via Phishing for Information.",RECONNAISSANCE,
APT32 has conducted targeted surveillance against activists and bloggers,RECONNAISSANCE,
Adversaries may send phishing messages to elicit sensitive information that can be used during targeting.,RECONNAISSANCE,
"Phishing for information is an attempt to trick targets into divulging information, frequently credentials or other actionable information.",RECONNAISSANCE,
"Adversaries may also try to obtain information directly through the exchange of emails, instant messages, or other electronic conversation means.",RECONNAISSANCE,
Adversaries may also purchase information from less-reputable sources such as dark web or cybercrime blackmarkets.,RECONNAISSANCE,
Adversaries may search in different closed databases depending on what information they seek to gather.,RECONNAISSANCE,
Adversaries may search freely available technical databases for information about victims that can be used during targeting.,RECONNAISSANCE,
Adversaries may search in different online sites depending on what information they seek to gather.,RECONNAISSANCE,
Kimsuky has searched for information on the target company's website.,RECONNAISSANCE,
Adversaries may search and gather information about victims from closed sources that can be used during targeting.,RECONNAISSANCE,
"Adversaries may use web content discovery tools such as Dirb, DirBuster, and GoBuster and generic or custom wordlists to enumerate a websiteâ€™s pages and directories.",RECONNAISSANCE,
Adversaries may scan victims for vulnerabilities that can be used during targeting.,RECONNAISSANCE,
"Wordlists used in these scans may contain generic, commonly used names and file extensions or terms specific to a particular software.",RECONNAISSANCE,
Adversaries may gather information about the victim's hosts that can be used during targeting.,RECONNAISSANCE,
Adversaries may gather information about the victim's host software that can be used during targeting.,RECONNAISSANCE,
"Information about host firmware may include a variety of details such as type and versions on specific hosts, which may be used to infer more information about hosts in the environment",RECONNAISSANCE,
Physical locations may also indicate what legal jurisdiction and/or authorities the victim operates within.,RECONNAISSANCE,
"Adversaries may gather information about the victim's organization that can be used during targeting. Information about an organization may include a variety of details, including the names of divisions/departments, specifics of business operations, as well as the roles and responsibilities of key employees.",RECONNAISSANCE,
Adversaries may also target information about victim network-based intrusion detection systems (NIDS) or other appliances related to defensive cybersecurity operations.,RECONNAISSANCE,
"IP addresses may also enable an adversary to derive other details about a victim, such as organizational size, physical location(s), Internet service provider, and or where/how their publicly-facing infrastructure is hosted.",RECONNAISSANCE,
"DNS information may include a variety of details to derive, including registered name servers as well as records that outline addressing for a targetâ€™s subdomains, mail servers, and other hosts.",RECONNAISSANCE,
"Spearphishing for information frequently involves social engineering techniques, such as posing as a source with a reason to collect information",RECONNAISSANCE,
Threat intelligence vendors may offer paid feeds or portals that offer more data than what is publicly reported.,RECONNAISSANCE,
"Information about victims may be available in online databases and repositories, such as registrations of domains/certificates as well as public collections of network data/artifacts gathered from traffic and/or scans.",RECONNAISSANCE,
"Anyone can query WHOIS servers for information about a registered domain, such as assigned IP blocks, contact information, and DNS nameservers.",RECONNAISSANCE,
"Information about victims may be available in various online sites, such as social media, new sites, or those hosting information about business operations such as hiring or requested/rewarded contracts.",RECONNAISSANCE,
"Social media sites may contain various information about a victim organization, such as business announcements as well as information about the roles, locations, and interests of staff.",RECONNAISSANCE,
Search engine services typical crawl online sites to index context and may provide users with specialized syntax to search for specific keywords or specific types of content (i.e. filetypes).,RECONNAISSANCE,
"Victim-owned websites may contain a variety of details, including names of departments/divisions, physical locations, and data about key employees such as names, roles, and contact info.",RECONNAISSANCE,
Techniques used include uninstalling/disabling security software or obfuscating/encrypting data and scripts. Adversaries also leverage and abuse trusted processes to hide and masquerade their malware.,DEFENSE_EVASION,
An adversary can perform several methods to take advantage of built-in control mechanisms in order to escalate privileges on a system.,DEFENSE_EVASION,PRIVILEGE_ESCALATION
An adversary may abuse configurations where an application has the setuid or setgid bits set in order to get code running in a different (and possibly more privileged) userâ€™s context.,DEFENSE_EVASION,PRIVILEGE_ESCALATION
Adversaries may modify access tokens to operate under a different user or system security context to perform actions and bypass access controls.,DEFENSE_EVASION,PRIVILEGE_ESCALATION
Adversaries may abuse BITS jobs to persistently execute or clean up after malicious payloads.,DEFENSE_EVASION,PERSISTENCE
Adversaries may build a container image directly on a host to bypass defenses that monitor for the retrieval of malicious images from a public registry.,DEFENSE_EVASION,
Adversaries may employ various means to detect and avoid debuggers.,DEFENSE_EVASION,DISCOVERY
Adversaries may use Obfuscated Files or Information to hide artifacts of an intrusion from analysis.,DEFENSE_EVASION,
"An adversary may deploy a new container configured without network rules, user limitations, etc. to bypass existing defenses within the environment.",DEFENSE_EVASION,EXECUTION
Adversaries also leverage and abuse trusted processes to hide and masquerade their malware.,DEFENSE_EVASION,
Adversaries may directly access a volume to bypass file access controls and file system monitoring.,DEFENSE_EVASION,
Adversaries may modify the configuration settings of a domain to evade defenses and/or escalate privileges in domain environments.,DEFENSE_EVASION,PRIVILEGE_ESCALATION
Adversaries may use execution guardrails to constrain actions based on adversary supplied and environment specific conditions that are expected to be present on the target. Guardrails ensure that a payload only executes against an intended target and reduces collateral damage from an adversaryâ€™s campaign.,DEFENSE_EVASION,
Adversaries may exploit a system or application vulnerability to bypass security features.,DEFENSE_EVASION,
Adversaries may modify file or directory permissions/attributes to evade access control lists (ACLs) and access protected files.,DEFENSE_EVASION,
"Adversaries may abuse features to hide artifacts such as files, directories, user accounts, or other system activity to evade detection",DEFENSE_EVASION,
"Adversaries may attempt to hide artifacts associated with malicious behavior by creating computing regions that are isolated from common security instrumentation, such as through the use of virtualization technology.",DEFENSE_EVASION,
Adversaries may execute their own malicious payloads by hijacking the way operating systems run programs.,DEFENSE_EVASION,"PRIVILEGE_ESCALATION, PERSISTENCE"
Adversaries may maliciously modify components of a victim environment in order to hinder or disable defensive mechanisms. This not only involves impairing preventative defenses but also detection capabilities that defenders can use to audit activity and identify malicious behavior.,DEFENSE_EVASION,
Adversaries may delete or modify artifacts generated on a host system to remove evidence of their presence or hinder defenses.,DEFENSE_EVASION,
Adversaries may abuse utilities that allow for command execution to bypass security restrictions that limit the use of command-line interpreters.,DEFENSE_EVASION,
Adversaries may attempt to manipulate features of their artifacts to make them appear legitimate or benign to users and/or security tools.,DEFENSE_EVASION,
An adversary may attempt to modify a cloud account's compute service infrastructure to evade defenses.,DEFENSE_EVASION,
"Adversaries may interact with the Windows Registry to hide configuration information within Registry keys, remove information as part of cleaning up, or as part of other techniques to aid in persistence and execution.",DEFENSE_EVASION,
Adversaries may make changes to the operating system of embedded network devices to weaken defenses and provide new capabilities for themselves.,DEFENSE_EVASION,
Adversaries may bridge network boundaries by compromising perimeter network devices or internal devices responsible for network segmentation. Breaching these devices may enable an adversary to bypass restrictions on traffic routing that otherwise separate trusted and untrusted networks.,DEFENSE_EVASION,
"Adversaries may abuse Pre-OS Boot mechanisms as a way to establish PERSISTENCE on a system. During the booting process of a computer, firmware and various startup services are loaded before the operating system.",DEFENSE_EVASION,PERSISTENCE
Adversaries may reflectively load code into a process in order to conceal the execution of malicious payloads.,DEFENSE_EVASION,
Adversaries may register a rogue Domain Controller to enable manipulation of Active Directory data. This technique may bypass system logging and security monitors such as security information and event management (SIEM) products,DEFENSE_EVASION,
"Adversaries may use rootkits to hide the presence of programs, files, network connections, services, drivers, and other system components.",DEFENSE_EVASION,
"Adversaries may use alternate authentication material, such as password hashes, Kerberos tickets, and application access tokens, in order to move laterally within an environment and bypass normal system access controls.",DEFENSE_EVASION,LATERAL_MOVEMENT
Adversaries may bypass application control and obscure execution of code by embedding scripts inside XSL files.,DEFENSE_EVASION,
adversaries are allowed to explore what they can control and whatâ€™s around their entry point in order to discover how it could benefit their current objective.,DISCOVERY,
Adversaries may attempt to get a listing of accounts on a system or within an environment. This information can help adversaries determine which accounts exist to aid in follow-on behavior.,DISCOVERY,
Adversaries may attempt to get a listing of open application windows. Window listings could convey information about how the system is used or give context to information collected by a keylogger.,DISCOVERY,
Adversaries may enumerate browser bookmarks to learn more about compromised hosts. Browser bookmarks may reveal personal information about users as well as details about internal network resources.,DISCOVERY,
An adversary may enumerate resources using a compromised user's access keys to determine which are available to that user.,DISCOVERY,
"An adversary may use a cloud service dashboard GUI with stolen credentials to gain useful information from an operational cloud environment, such as specific services, resources, and features.",DISCOVERY,
Adversaries may attempt to discover containers and other resources that are available within a containers environment.,DISCOVERY,
Adversaries may attempt to gather information on domain trust relationships that may be used to identify lateral movement opportunities in Windows multi-domain/forest environments.,DISCOVERY,
Adversaries may enumerate files and directories or may search in specific locations of a host or network share for certain information within a file system.,DISCOVERY,
"Adversaries may gather information on Group Policy settings to identify paths for privilege escalation, security measures applied within a domain, and to discover patterns in domain objects that can be manipulated or used to blend in the environment.",DISCOVERY,
"Adversaries may attempt to get a listing of services running on remote hosts and local network infrastructure devices, including those that may be vulnerable to remote software exploitation.",DISCOVERY,
Adversaries may attempt to access detailed information about the password policy used within an enterprise network or cloud environment.,DISCOVERY,
Adversaries may attempt to gather information about attached peripheral devices and components connected to a computer system.,DISCOVERY,
"Adversaries may attempt to find group and permission settings. This information can help adversaries determine which user accounts and groups are available, the membership of users in particular groups, and which users and groups have elevated permissions.",DISCOVERY,
"Adversaries may interact with the Windows Registry to gather information about the system, configuration, and installed software.",DISCOVERY,
"An adversary may attempt to get detailed information about the operating system and hardware, including version, patches, hotfixes, service packs, and architecture.",DISCOVERY,
Adversaries use techniques to enter and control remote systems on a network. Following through on their primary objective often requires exploring the network to find their target and subsequently gaining access to it.,LATERAL_MOVEMENT,
Adversaries may exploit remote services to gain unauthorized access to internal systems once inside of a network.,LATERAL_MOVEMENT,
Adversaries may use internal spearphishing to gain access to additional information or exploit other users within the same organization after they already have access to accounts or systems within the environment.,LATERAL_MOVEMENT,
Adversaries may leverage Spearphishing Attachment or Spearphishing Link as part of internal spearphishing to deliver a payload or redirect to an external site to capture credentials through Input Capture on sites that mimic email login interfaces.,LATERAL_MOVEMENT,
Adversaries may transfer tools or other files between systems in a compromised environment. Once brought into the victim environment (i.e. Ingress Tool Transfer) files may then be copied from one system to another to stage adversary tools or other files over the course of an operation.,LATERAL_MOVEMENT,
Adversaries may take control of preexisting sessions with remote services to move laterally in an environment.,LATERAL_MOVEMENT,
"Adversaries may use Valid Accounts to log into a service specifically designed to accept remote connections, such as telnet, SSH, and VNC. The adversary may then perform actions as the logged-on user.",LATERAL_MOVEMENT,
Adversaries may hijack a legitimate user's SSH session to move laterally within an environment. Secure Shell (SSH) is a standard means of remote access on Linux and macOS systems.,LATERAL_MOVEMENT,
"Adversaries may move onto systems, possibly those on disconnected or air-gapped networks, by copying malware to removable media and taking advantage of Autorun features when the media is inserted into a system and executes.",LATERAL_MOVEMENT,INITIAL_ACCESS
"Adversaries may gain access to and use third-party software suites installed within an enterprise network, such as administration, monitoring, and deployment systems, to move laterally through the network. Third-party applications and software deployment systems may be in use in the network environment for administration purposes (e.g., SCCM, HBSS, Altiris, etc.).",LATERAL_MOVEMENT,EXECUTION
"Adversaries may deliver payloads to remote systems by adding content to shared storage locations, such as network drives or internal code repositories. Content stored on network drives or in other shared locations may be tainted by adding malicious programs, scripts, or exploit code to otherwise valid files",LATERAL_MOVEMENT,
Adversaries use the technique to gather information and the sources information is collected from that are relevant to following through on the adversary's objectives.,COLLECTION,
Adversaries may attempt to position themselves between two or more networked devices using an adversary-in-the-middle (AiTM) technique to support follow-on behaviors,COLLECTION,CREDENTIAL_ACCESS
Adversaries may force a device to communicate through an adversary controlled system so they can collect information or perform additional actions.,COLLECTION,CREDENTIAL_ACCESS
An adversary may compress and/or encrypt data that is collected prior to exfiltration.,COLLECTION,
"An adversary can leverage a computer's peripheral devices (e.g., microphones and webcams) or applications (e.g., voice and video call services) to capture audio recordings for the purpose of listening into sensitive conversations to gather information.",COLLECTION,
"Methods for performing this technique could include use of a Command and Scripting Interpreter to search for and copy information fitting set criteria such as file type, location, or name at specific time intervals. In cloud-based environments, adversaries may also use cloud APIs, command line interfaces, or extract, transform, and load (ETL) services to automatically collect data.",COLLECTION,
"Adversaries may take advantage of security vulnerabilities and inherent functionality in browser software to change content, modify user-behaviors, and intercept information as part of various browser session hijacking techniques.",COLLECTION,
Adversaries may collect data stored in the clipboard from users copying information within or between applications.,COLLECTION,
