ID,name,description,url,created,last modified,version,contributors,tactics,detection,platforms,tactic type,MTC ID,relationship citations
T1624.001,Broadcast Receivers,"Adversaries may establish persistence using system mechanisms that trigger execution based on specific events. Mobile operating systems have means to subscribe to events such as receiving an SMS message, device boot completion, or other device activities. 

An intent is a message passed between Android applications or system components. Applications can register to receive broadcast intents at runtime, which are system-wide intents delivered to each app when certain events happen on the device, such as network changes or the user unlocking the screen. Malicious applications can then trigger certain actions within the app based on which broadcast intent was received. 

In addition to Android system intents, malicious applications can register for intents broadcasted by other applications. This allows the malware to respond based on actions in other applications. This behavior typically indicates a more intimate knowledge, or potentially the targeting of specific devices, users, or applications. 

In Android 8 (API level 26), broadcast intent behavior was changed, limiting the implicit intents that applications can register for in the manifest. In most cases, applications that register through the manifest will no longer receive the broadcasts. Now, applications must register context-specific broadcast receivers while the user is actively using the app.(Citation: Android Changes to System Broadcasts) ",https://attack.mitre.org/techniques/T1624/001,30 March 2022,19 April 2022,1.0,"Alex Hinchliffe, Palo Alto Networks",Persistence,Application vetting services can detect which broadcast intents an application registers for and which permissions it requests. ,Android,Post-Adversary Device Access,,"(Citation: WhiteOps TERRACOTTA),(Citation: FortiGuard-FlexiSpy),(Citation: Microsoft MalLockerB),(Citation: Talos GPlayed),(Citation: PaloAlto-SpyDealer),(Citation: Palo Alto HenBox),(Citation: SecurityIntelligence TrickMo),(Citation: Threat Fabric Exobot),(Citation: WeLiveSecurity AdDisplayAshas),(Citation: Cybereason EventBot),(Citation: ESET DEFENSOR ID),(Citation: Lookout-PegasusAndroid),(Citation: CheckPoint SimBad 2019),(Citation: Zscaler-SpyNote),(Citation: Zscaler TikTok Spyware),(Citation: Cybereason FakeSpy),(Citation: Trend Micro Bouncing Golf 2019),(Citation: Android Changes to System Broadcasts)"
T1636.001,Calendar Entries,"Adversaries may utilize standard operating system APIs to gather calendar entry data. On Android, this can be accomplished using the Calendar Content Provider. On iOS, this can be accomplished using the `EventKit` framework. 

 

If the device has been jailbroken or rooted, an adversary may be able to access [Calendar Entries](https://attack.mitre.org/techniques/T1636/001) without the user’s knowledge or approval. ",https://attack.mitre.org/techniques/T1636/001,01 April 2022,11 April 2022,1.0,,Collection,"On both Android and iOS, the user can manage which applications have permission to access calendar information through the device settings screen, revoke the permission if necessary. Application vetting services could look for `android.permission.READ_CALENDAR` or `android.permission.WRITE_CALENDAR` in an Android application’s manifest, or `NSCalendarsUsageDescription` in an iOS application’s `Info.plist` file. Most applications do not need calendar access, so extra scrutiny could be applied to those that request it. ","Android, iOS",,APP-13,"(Citation: Lookout-StealthMango),(Citation: CyberMerchants-FlexiSpy),(Citation: SWB Exodus March 2019),(Citation: Lookout-Monokle),(Citation: Lookout-PegasusAndroid),"
T1616,Call Control,"Adversaries may make, forward, or block phone calls without user authorization. This could be used for adversary goals such as audio surveillance, blocking or forwarding calls from the device owner, or C2 communication.

Several permissions may be used to programmatically control phone calls, including:

* `ANSWER_PHONE_CALLS` - Allows the application to answer incoming phone calls(Citation: Android Permissions)
* `CALL_PHONE` - Allows the application to initiate a phone call without going through the Dialer interface(Citation: Android Permissions)
* `PROCESS_OUTGOING_CALLS` - Allows the application to see the number being dialed during an outgoing call with the option to redirect the call to a different number or abort the call altogether(Citation: Android Permissions)
* `MANAGE_OWN_CALLS` - Allows a calling application which manages its own calls through the self-managed `ConnectionService` APIs(Citation: Android Permissions)
* `BIND_TELECOM_CONNECTION_SERVICE` - Required permission when using a `ConnectionService`(Citation: Android Permissions)
* `WRITE_CALL_LOG` - Allows an application to write to the device call log, potentially to hide malicious phone calls(Citation: Android Permissions)

When granted some of these permissions, an application can make a phone call without opening the dialer first. However, if an application desires to simply redirect the user to the dialer with a phone number filled in, it can launch an Intent using `Intent.ACTION_DIAL`, which requires no specific permissions. This then requires the user to explicitly initiate the call or use some form of [Input Injection](https://attack.mitre.org/techniques/T1516) to programmatically initiate it.",https://attack.mitre.org/techniques/T1616,20 September 2021,24 October 2022,1.0,"Gaetan van Diemen, ThreatFabric","Collection, Command and Control, Impact","Users can view their default phone app in device settings. Users can review available call logs for irregularities, such as missing or unrecognized calls.",Android,Post-Adversary Device Access,APP-41,"(Citation: SecureList BusyGasper),(Citation: Lookout-Monokle),(Citation: Lookout Uyghur Campaign),(Citation: Cofense Anubis),"
T1636.002,Call Log,"Adversaries may utilize standard operating system APIs to gather call log data. On Android, this can be accomplished using the Call Log Content Provider. iOS provides no standard API to access the call log. 

 

If the device has been jailbroken or rooted, an adversary may be able to access the [Call Log](https://attack.mitre.org/techniques/T1636/002) without the user’s knowledge or approval. ",https://attack.mitre.org/techniques/T1636/002,01 April 2022,29 April 2022,1.0,,Collection,"On Android, the user can manage which applications have permission to access the call log through the device settings screen, revoking the permission if necessary. Application vetting services could look for `android.permission.READ_CALL_LOG` in an Android application’s manifest. Most applications do not need call log access, so extra scrutiny could be applied to those that request it.  ","Android, iOS",Post-Adversary Device Access,APP-13,"(Citation: Talos-WolfRAT),(Citation: PaloAlto-SpyDealer),(Citation: Lookout ViperRAT),(Citation: Zscaler TikTok Spyware),(Citation: Lookout-EnterpriseApps),(Citation: SecureList - ViceLeaker 2019),(Citation: Lookout Uyghur Campaign),(Citation: Zscaler-SuperMarioRun),(Citation: Google Project Zero Insomnia),(Citation: Lookout-Monokle),(Citation: Kaspersky-WUC),(Citation: NYTimes-BackDoor),(Citation: TrendMicro Coronavirus Updates),(Citation: SWB Exodus March 2019),(Citation: Lookout-PegasusAndroid),(Citation: Lookout-Pegasus),(Citation: Lookout-StealthMango),(Citation: Palo Alto HenBox),(Citation: Lookout Dark Caracal Jan 2018),(Citation: Sophos Red Alert 2.0),(Citation: Trend Micro Bouncing Golf 2019),"
T1414,Clipboard Data,"Adversaries may abuse clipboard manager APIs to obtain sensitive information copied to the device clipboard. For example, passwords being copied and pasted from a password manager application could be captured by a malicious application installed on the device.(Citation: Fahl-Clipboard) 

 

On Android, applications can use the `ClipboardManager.OnPrimaryClipChangedListener()` API to register as a listener and monitor the clipboard for changes. However, starting in Android 10, this can only be used if the application is in the foreground, or is set as the device’s default input method editor (IME).(Citation: Github Capture Clipboard 2019)(Citation: Android 10 Privacy Changes) 

 

On iOS, this can be accomplished by accessing the `UIPasteboard.general.string` field. However, starting in iOS 14, upon accessing the clipboard, the user will be shown a system notification if the accessed text originated in a different application. For example, if the user copies the text of an iMessage from the Messages application, the notification will read “application_name has pasted from Messages” when the text was pasted in a different application.(Citation: UIPPasteboard)",https://attack.mitre.org/techniques/T1414,25 October 2017,19 April 2022,3.0,,"Collection, Credential Access",Application vetting services could detect usage of standard clipboard APIs.,"Android, iOS",Post-Adversary Device Access,APP-35,"(Citation: PaloAlto-XcodeGhost),(Citation: TrendMicro-RCSAndroid),(Citation: Trend Micro Bouncing Golf 2019),(Citation: Android 10 Privacy Changes)"
T1632.001,Code Signing Policy Modification,"Adversaries may modify code signing policies to enable execution of applications signed with unofficial or unknown keys. Code signing provides a level of authenticity on an app from a developer, guaranteeing that the program has not been tampered with and comes from an official source. Security controls can include enforcement mechanisms to ensure that only valid, signed code can be run on a device. 

Mobile devices generally enable these security controls by default, such as preventing the installation of unknown applications on Android. Adversaries may modify these policies in a number of ways, including [Input Injection](https://attack.mitre.org/techniques/T1516) or malicious configuration profiles.",https://attack.mitre.org/techniques/T1632/001,30 March 2022,21 April 2022,1.0,,Defense Evasion,"On Android, the user can use the device settings menu to view trusted CA certificates and look for unexpected or unknown certificates. A mobile security product could similarly examine the trusted CA certificate store for anomalies. Users can use the device settings menu to view which applications on the device are allowed to install unknown applications.

On iOS, the user can use the device settings menu to view installed Configuration Profiles and look for unexpected or unknown profiles. A Mobile Device Management (MDM) system could use the iOS MDM APIs to examine the list of installed Configuration Profiles for anomalies.","Android, iOS",Post-Adversary Device Access,STA-7,"(Citation: Lookout Uyghur Campaign),(Citation: SecureList DVMap June 2017),(Citation: Lookout Desert Scorpion),(Citation: TrendMicro-XLoader-FakeSpy),(Citation: BlackBerry Bahamut),(Citation: Bitdefender Mandrake),(Citation: Symantec-iOSProfile2),(Citation: Android-TrustedCA)"
T1623,Command and Scripting Interpreter,"Adversaries may abuse command and script interpreters to execute commands, scripts, or binaries. These interfaces and languages provide ways of interacting with computer systems and are a common feature across many different platforms. Most systems come with some built-in command-line interface and scripting capabilities, for example, Android is a UNIX-like OS and includes a basic [Unix Shell](https://attack.mitre.org/techniques/T1623/001) that can be accessed via the Android Debug Bridge (ADB) or Java’s `Runtime` package.

Adversaries may abuse these technologies in various ways as a means of executing arbitrary commands. Commands and scripts can be embedded in [Initial Access](https://attack.mitre.org/tactics/TA0027) payloads delivered to victims as lure documents or as secondary payloads downloaded from an existing C2. Adversaries may also execute commands through interactive terminals/shells. ",https://attack.mitre.org/techniques/T1623,30 March 2022,06 April 2022,1.0,,Execution,"Command-line activities can potentially be detected through Mobile Threat Defense integrations with lower-level OS APIs. This could grant the MTD agents access to running processes and their parameters, potentially detecting unwanted or malicious shells.

Application vetting services could detect the invocations of methods that could be used to execute shell commands.(Citation: Samsung Knox Mobile Threat Defense)","Android, iOS",Post-Adversary Device Access,,","
T1577,Compromise Application Executable,"Adversaries may modify applications installed on a device to establish persistent access to a victim. These malicious modifications can be used to make legitimate applications carry out adversary tasks when these applications are in use.

There are multiple ways an adversary can inject malicious code into applications. One method is by taking advantages of device vulnerabilities, the most well-known being Janus, an Android vulnerability that allows adversaries to add extra bytes to APK (application) and DEX (executable) files without affecting the file's signature. By being able to add arbitrary bytes to valid applications, attackers can seamlessly inject code into genuine executables without the user's knowledge.(Citation: Guardsquare Janus)

Adversaries may also rebuild applications to include malicious modifications. This can be achieved by decompiling the genuine application, merging it with the malicious code, and recompiling it.(Citation: CheckPoint Agent Smith)

Adversaries may also take action to conceal modifications to application executables and bypass user consent. These actions include altering modifications to appear as an update or exploiting vulnerabilities that allow activities of the malicious application to run inside a system application.(Citation: CheckPoint Agent Smith)",https://attack.mitre.org/techniques/T1577,07 May 2020,24 October 2022,1.0,,Persistence,This behavior is seamless to the user and is typically undetectable.,Android,Post-Adversary Device Access,,"(Citation: CheckPoint Agent Smith),"
T1645,Compromise Client Software Binary,"Adversaries may modify system software binaries to establish persistent access to devices. System software binaries are used by the underlying operating system and users over adb or terminal emulators. 

Adversaries may make modifications to client software binaries to carry out malicious tasks when those binaries are executed. For example, malware may come with a pre-compiled malicious binary intended to overwrite the genuine one on the device. Since these binaries may be routinely executed by the system or user, the adversary can leverage this for persistent access to the device. ",https://attack.mitre.org/techniques/T1645,30 March 2022,08 April 2022,1.0,,Persistence,"Verified Boot can detect unauthorized modifications to the system partition.(Citation: Android-VerifiedBoot) Android’s SafetyNet API provides remote attestation capabilities, which could potentially be used to identify and respond to compromised devices. Samsung Knox provides a similar remote attestation capability on supported Samsung devices. Application vetting services could detect applications trying to modify files in protected parts of the operating system.","Android, iOS",Post-Adversary Device Access,APP-27,"(Citation: Lookout Uyghur Campaign),(Citation: Lookout-Adware),(Citation: Lookout-BrainTest),(Citation: Lookout-Monokle),(Citation: Lookout-PegasusAndroid),(Citation: SecureList BusyGasper),(Citation: PaloAlto-SpyDealer),(Citation: Lookout-Pegasus),"
T1474.002,Compromise Hardware Supply Chain,"Adversaries may manipulate hardware components in products prior to receipt by a final consumer for the purpose of data or system compromise. By modifying hardware or firmware in the supply chain, adversaries can insert a backdoor into consumer networks that may be difficult to detect and give the adversary a high degree of control over the system. ",https://attack.mitre.org/techniques/T1474/002,28 March 2022,05 April 2022,1.0,,Initial Access,Integrity checking mechanisms can potentially detect unauthorized hardware modifications.,"Android, iOS",Post-Adversary Device Access,SPC-1,","
T1474.001,Compromise Software Dependencies and Development Tools,Adversaries may manipulate products or product delivery mechanisms prior to receipt by a final consumer for the purpose of data or system compromise. Applications often depend on external software to function properly. Popular open source projects that are used as dependencies in many applications may be targeted as a means to add malicious code to users of the dependency.(Citation: Grace-Advertisement),https://attack.mitre.org/techniques/T1474/001,28 March 2022,05 April 2022,1.0,,Initial Access,Usage of insecure or malicious third-party libraries could be detected by application vetting services. Malicious software development tools could be detected by enterprises that deploy endpoint protection software on computers that are used to develop mobile apps. Application vetting could detect the usage of insecure or malicious third-party libraries.,"Android, iOS",Post-Adversary Device Access,APP-6,"(Citation: PaloAlto-XcodeGhost1),(Citation: PaloAlto-XcodeGhost),"
T1474.003,Compromise Software Supply Chain,"Adversaries may manipulate application software prior to receipt by a final consumer for the purpose of data or system compromise. Supply chain compromise of software can take place in a number of ways, including manipulation of the application source code, manipulation of the update/distribution mechanism for that software, or replacing compiled releases with a modified version.",https://attack.mitre.org/techniques/T1474/003,28 March 2022,05 April 2022,1.0,,Initial Access,Application vetting services can detect malicious code in applications. System partition integrity checking mechanisms can detect unauthorized or malicious code contained in the system partition.,"Android, iOS",Post-Adversary Device Access,SPC-4,"(Citation: BankInfoSecurity-BackDoor),(Citation: Lookout-StealthMango),(Citation: HackerNews-Allwinner),(Citation: NYTimes-BackDoor),(Citation: CYBERWARCON CHEMISTGAMES),(Citation: Google Triada June 2019),(Citation: Krebs-Triada June 2019),"
T1636.003,Contact List,"Adversaries may utilize standard operating system APIs to gather contact list data. On Android, this can be accomplished using the Contacts Content Provider. On iOS, this can be accomplished using the `Contacts` framework. 

 

If the device has been jailbroken or rooted, an adversary may be able to access the [Contact List](https://attack.mitre.org/techniques/T1636/003) without the user’s knowledge or approval. ",https://attack.mitre.org/techniques/T1636/003,01 April 2022,11 April 2022,1.0,,Collection,"On both Android and iOS, the user can manage which applications have permission to access the contact list through the device settings screen, revoking the permission if necessary. Application vetting services could look for `android.permission.READ_CONTACTS` in an Android application’s manifest, or `NSContactsUsageDescription` in an iOS application’s `Info.plist` file. Most applications do not need contact list access, so extra scrutiny could be applied to those that request it.","Android, iOS",Post-Adversary Device Access,APP-13,"(Citation: ThreatFabric Ginp),(Citation: Threat Fabric Cerberus),(Citation: Talos-WolfRAT),(Citation: securelist rotexy 2018),(Citation: Talos Gustuff Apr 2019),(Citation: Talos GPlayed),(Citation: Cofense Anubis),(Citation: PaloAlto-SpyDealer),(Citation: Zscaler-SpyNote),(Citation: Lookout ViperRAT),(Citation: Lookout-EnterpriseApps),(Citation: Cybereason FakeSpy),(Citation: Bitdefender Mandrake),(Citation: Securelist Asacub),(Citation: Lookout Uyghur Campaign),(Citation: Zscaler TikTok Spyware),(Citation: CheckPoint-Charger),(Citation: Kaspersky Riltok June 2019),(Citation: Google Project Zero Insomnia),(Citation: Threat Fabric Exobot),(Citation: Lookout-Monokle),(Citation: Kaspersky-WUC),(Citation: Lookout eSurv),(Citation: NYTimes-BackDoor),(Citation: CyberMerchants-FlexiSpy),(Citation: TrendMicro Coronavirus Updates),(Citation: SWB Exodus March 2019),(Citation: Lookout Desert Scorpion),(Citation: Lookout-PegasusAndroid),(Citation: Lookout-Pegasus),(Citation: Lookout-StealthMango),(Citation: Symantec GoldenCup),(Citation: Palo Alto HenBox),(Citation: Lookout Dark Caracal Jan 2018),(Citation: Sophos Red Alert 2.0),(Citation: BlackBerry Bahamut),(Citation: Trend Micro Bouncing Golf 2019),"
T1634,Credentials from Password Store,"Adversaries may search common password storage locations to obtain user credentials. Passwords can be stored in several places on a device, depending on the operating system or application holding the credentials. There are also specific applications that store passwords to make it easier for users manage and maintain. Once credentials are obtained, they can be used to perform lateral movement and access restricted information.",https://attack.mitre.org/techniques/T1634,01 April 2022,05 April 2022,1.0,,Credential Access,"Mobile security products can potentially detect jailbroken devices. Application vetting services may be able to detect known privilege escalation exploits contained within applications, as well as searching application packages for strings that correlate to known password store locations.",iOS,Post-Adversary Device Access,AUT-11,","
T1471,Data Encrypted for Impact,An adversary may encrypt files stored on a mobile device to prevent the user from accessing them. This may be done in order to extract monetary compensation from a victim in exchange for decryption or a decryption key (ransomware) or to render data permanently inaccessible in cases where the key is not saved or transmitted.,https://attack.mitre.org/techniques/T1471,25 October 2017,06 April 2022,3.1,,Impact,"Application vetting services may be able to detect if an application attempts to encrypt files, although this may be benign behavior.",Android,Post-Adversary Device Access,APP-28,"(Citation: PaloAlto-Xbot),(Citation: Cofense Anubis),"
T1641,Data Manipulation,"Adversaries may insert, delete, or alter data in order to manipulate external outcomes or hide activity. By manipulating data, adversaries may attempt to affect a business process, organizational understanding, or decision making.

The type of modification and the impact it will have depends on the target application, process, and the goals and objectives of the adversary. For complex systems, an adversary would likely need special expertise and possibly access to specialized software related to the system, typically gained through a prolonged information gathering campaign, in order to have the desired impact.",https://attack.mitre.org/techniques/T1641,06 April 2022,06 April 2022,1.0,,Impact,Application vetting services could look for use of standard APIs (e.g. the clipboard API) that could indicate data manipulation is occurring.,Android,Post-Adversary Device Access,,","
